epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,60.5108,0.40096,0.64224,0.85224,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000171904,0.000171904,0.000171904
80,61.2309,0.95004,1.08124,1.32976,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000166212,0.000166212,0.000166212
81,61.9824,0.58042,0.83069,0.96289,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.00016032,0.00016032,0.00016032
82,62.9002,0.5172,0.66995,0.92976,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000154228,0.000154228,0.000154228
83,63.6839,0.46845,0.63159,0.87055,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000147936,0.000147936,0.000147936
84,64.4408,0.55895,0.86008,0.96289,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000141444,0.000141444,0.000141444
85,65.2113,0.66577,0.82135,1.03779,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000134753,0.000134753,0.000134753
86,66.0342,0.60434,0.8899,1.01978,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,0.000127861,0.000127861,0.000127861
87,66.7796,0.4469,0.62467,0.92821,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,0.00012077,0.00012077,0.00012077
88,67.5091,0.47225,0.65486,0.91711,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,0.000113478,0.000113478,0.000113478
89,68.2597,0.4573,0.61606,0.91516,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,0.000105987,0.000105987,0.000105987
90,68.9989,0.44745,0.48914,0.86224,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,9.8296e-05,9.8296e-05,9.8296e-05
91,92.5563,0.37532,0.76906,0.90986,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,9.0405e-05,9.0405e-05,9.0405e-05
92,93.4172,0.34566,0.61882,0.82073,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,8.2314e-05,8.2314e-05,8.2314e-05
93,94.2245,0.50711,0.72946,0.8389,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,7.40232e-05,7.40232e-05,7.40232e-05
94,94.9931,0.40048,0.75035,0.8524,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,6.55324e-05,6.55324e-05,6.55324e-05
95,95.7364,0.40031,0.69177,0.86348,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,5.68418e-05,5.68418e-05,5.68418e-05
96,96.5197,0.35777,0.70255,0.87141,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,4.79513e-05,4.79513e-05,4.79513e-05
97,97.2573,0.42158,0.6224,0.84676,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,3.88608e-05,3.88608e-05,3.88608e-05
98,98.0009,0.36122,0.6795,0.83912,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,2.95705e-05,2.95705e-05,2.95705e-05
99,98.7435,0.39813,0.73405,0.87988,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,2.00802e-05,2.00802e-05,2.00802e-05
100,99.4869,0.40241,0.68308,0.84839,0.94701,1,0.995,0.85197,0.65426,0.62128,1.06813,1.03901e-05,1.03901e-05,1.03901e-05
